University ID,University Name,Location (State),Tier,Type,Department,Entrance Exam Cut-off,Average GPA,Average Salary (INR),Percentage Placed,Faculty Members,Faculty with PhD (%),Student-to-Faculty Ratio
1,University 1,Karnataka,Tier 1,Government,Computer Science,6191,8.1,1403462,77.83,94,47.55,15.01
1,University 1,Tamil Nadu,Tier 2,Government,Electrical Engineering,1769,8.53,627069,68.49,40,57.05,19.17
1,University 1,Delhi,Tier 1,Government,Mechanical Engineering,9666,8.14,1733257,61.87,34,47.36,21.78
2,University 2,Tamil Nadu,Tier 3,Private,Computer Science,2528,6.16,828178,87.21,92,23.9,24.23
2,University 2,Karnataka,Tier 2,Private,Electrical Engineering,8513,6.34,948531,69.64,191,49.71,10.52
2,University 2,Maharashtra,Tier 2,Private,Mechanical Engineering,8555,7.09,508261,68.32,23,31.09,24.54
3,University 3,Uttar Pradesh,Tier 2,Private,Computer Science,1995,8.09,1884398,63.54,59,70.67,21.21
3,University 3,Delhi,Tier 2,Government,Electrical Engineering,5859,8.12,816588,65.64,34,29.92,10.23
3,University 3,Maharashtra,Tier 1,Private,Mechanical Engineering,3695,6.02,436330,67.95,155,63.74,21.57
4,University 4,Delhi,Tier 2,Government,Computer Science,7184,9.2,1379111,77.98,52,23.81,14.66
4,University 4,Delhi,Tier 3,Private,Electrical Engineering,9154,7.96,791234,64.78,150,65.65,18.42
4,University 4,Tamil Nadu,Tier 1,Government,Mechanical Engineering,6134,6.39,1896283,64.32,82,73.75,17.13
5,University 5,Delhi,Tier 2,Government,Computer Science,8574,8.12,1546862,90.22,55,76.57,18.98
5,University 5,Tamil Nadu,Tier 2,Private,Electrical Engineering,3693,7.6,1067595,67.46,49,73.0,14.87
5,University 5,Karnataka,Tier 1,Government,Mechanical Engineering,8392,6.95,1284346,77.08,135,41.15,14.57
6,University 6,Tamil Nadu,Tier 1,Private,Computer Science,4748,8.42,1886409,73.5,78,39.39,17.78
6,University 6,Maharashtra,Tier 1,Private,Electrical Engineering,7585,9.37,1663453,87.85,150,38.05,14.27
6,University 6,Maharashtra,Tier 3,Government,Mechanical Engineering,5737,7.44,1742646,71.15,148,34.37,12.17
7,University 7,Karnataka,Tier 2,Private,Computer Science,6535,8.07,1532310,90.46,142,34.53,22.05
7,University 7,Delhi,Tier 2,Private,Electrical Engineering,8125,7.88,322671,93.41,143,50.49,20.44
7,University 7,Tamil Nadu,Tier 3,Private,Mechanical Engineering,7546,8.49,442483,85.81,71,76.43,15.96
8,University 8,Uttar Pradesh,Tier 1,Government,Computer Science,9155,8.57,674705,96.99,61,35.48,19.9
8,University 8,Uttar Pradesh,Tier 1,Private,Electrical Engineering,3049,9.49,675037,95.89,56,72.96,12.83
8,University 8,Maharashtra,Tier 3,Government,Mechanical Engineering,3255,9.14,1879159,76.18,180,58.52,11.26
9,University 9,Karnataka,Tier 2,Private,Computer Science,9445,6.03,1124792,86.54,112,37.04,14.58
9,University 9,Uttar Pradesh,Tier 2,Government,Electrical Engineering,1956,6.78,1438848,60.72,161,39.52,21.2
9,University 9,Tamil Nadu,Tier 1,Private,Mechanical Engineering,5555,7.78,738741,70.61,177,78.38,15.9
10,University 10,Tamil Nadu,Tier 3,Private,Computer Science,5893,8.26,1718175,94.57,80,49.95,18.58
10,University 10,Maharashtra,Tier 1,Private,Electrical Engineering,3205,9.34,1646932,95.34,143,20.93,23.92
10,University 10,Maharashtra,Tier 2,Government,Mechanical Engineering,1606,9.37,948307,71.78,179,71.07,14.75
11,University 11,Uttar Pradesh,Tier 1,Private,Computer Science,6854,8.95,1714466,82.8,43,32.54,20.07
11,University 11,Uttar Pradesh,Tier 3,Government,Electrical Engineering,2409,7.13,458823,87.88,62,62.53,18.29
11,University 11,Uttar Pradesh,Tier 3,Private,Mechanical Engineering,6986,6.9,1097079,96.53,154,50.09,21.97
12,University 12,Maharashtra,Tier 2,Private,Computer Science,7002,7.18,706619,83.15,51,54.7,10.54
12,University 12,Maharashtra,Tier 2,Government,Electrical Engineering,2148,8.94,527897,61.22,199,22.33,14.55
12,University 12,Tamil Nadu,Tier 1,Government,Mechanical Engineering,4124,6.95,1725412,78.29,25,23.1,17.97
13,University 13,Tamil Nadu,Tier 3,Private,Computer Science,8987,6.46,1582417,80.65,177,22.46,15.98
13,University 13,Tamil Nadu,Tier 2,Government,Electrical Engineering,9932,6.65,1616669,93.44,156,61.31,10.87
13,University 13,Uttar Pradesh,Tier 1,Government,Mechanical Engineering,8805,6.33,1368632,86.41,136,58.3,17.75
14,University 14,Delhi,Tier 2,Government,Computer Science,9130,6.87,367215,66.35,105,20.86,11.74
14,University 14,Delhi,Tier 3,Government,Electrical Engineering,3141,8.99,491475,67.01,163,25.87,17.37
14,University 14,Karnataka,Tier 1,Private,Mechanical Engineering,5452,7.39,847337,97.97,119,22.72,15.62
15,University 15,Uttar Pradesh,Tier 3,Private,Computer Science,5611,8.16,488751,85.7,147,58.18,22.01
15,University 15,Karnataka,Tier 2,Government,Electrical Engineering,3427,6.45,1025948,81.82,120,57.56,22.31
15,University 15,Uttar Pradesh,Tier 3,Private,Mechanical Engineering,5380,6.24,1124926,75.09,54,40.19,19.84
16,University 16,Delhi,Tier 2,Private,Computer Science,1417,6.91,303267,87.72,133,57.74,23.16
16,University 16,Karnataka,Tier 1,Government,Electrical Engineering,8164,6.99,1130857,76.94,171,68.41,24.86
16,University 16,Karnataka,Tier 2,Government,Mechanical Engineering,3143,7.19,700573,82.47,31,45.74,21.26
17,University 17,Maharashtra,Tier 3,Government,Computer Science,6917,9.16,1887261,79.86,105,37.86,11.5
17,University 17,Karnataka,Tier 1,Government,Electrical Engineering,9082,6.32,1407739,98.0,147,48.95,17.4
17,University 17,Delhi,Tier 1,Government,Mechanical Engineering,5491,7.15,966490,68.51,72,67.49,21.84
18,University 18,Delhi,Tier 1,Private,Computer Science,6305,6.2,1212606,62.23,182,73.26,15.26
18,University 18,Uttar Pradesh,Tier 3,Private,Electrical Engineering,8241,8.93,1027952,64.04,26,45.57,13.34
18,University 18,Maharashtra,Tier 2,Government,Mechanical Engineering,3681,6.51,912380,63.39,102,54.88,22.95
19,University 19,Karnataka,Tier 1,Government,Computer Science,8494,9.45,817923,75.05,178,48.9,15.67
19,University 19,Tamil Nadu,Tier 2,Private,Electrical Engineering,5268,6.04,1090141,62.25,80,69.37,21.16
19,University 19,Tamil Nadu,Tier 1,Private,Mechanical Engineering,1504,7.31,590160,63.32,180,33.42,24.45
20,University 20,Karnataka,Tier 1,Private,Computer Science,7316,6.15,428148,61.74,183,53.23,24.54
20,University 20,Uttar Pradesh,Tier 3,Government,Electrical Engineering,4376,8.44,1270240,85.1,137,43.05,21.06
20,University 20,Tamil Nadu,Tier 2,Private,Mechanical Engineering,6063,7.38,1634679,84.81,27,30.18,19.7
21,University 21,Uttar Pradesh,Tier 2,Private,Computer Science,5964,9.41,1893023,78.13,164,36.79,16.17
21,University 21,Delhi,Tier 1,Government,Electrical Engineering,2581,6.27,738661,97.99,66,75.15,11.24
21,University 21,Uttar Pradesh,Tier 3,Government,Mechanical Engineering,6124,6.09,1410389,92.42,196,42.6,21.24
22,University 22,Maharashtra,Tier 2,Government,Computer Science,7938,7.99,451456,78.75,118,28.03,10.21
22,University 22,Karnataka,Tier 1,Government,Electrical Engineering,6989,9.2,1110006,90.76,184,65.42,15.67
22,University 22,Delhi,Tier 2,Government,Mechanical Engineering,6997,6.88,1664652,84.25,132,65.42,10.7
23,University 23,Uttar Pradesh,Tier 2,Private,Computer Science,1770,7.82,861419,92.66,152,25.3,21.88
23,University 23,Maharashtra,Tier 3,Government,Electrical Engineering,2252,8.17,1834026,68.52,185,57.04,24.71
23,University 23,Uttar Pradesh,Tier 2,Private,Mechanical Engineering,7941,7.94,1080722,96.17,71,52.85,16.76
24,University 24,Karnataka,Tier 2,Government,Computer Science,4177,9.02,1596516,91.86,157,75.6,17.38
24,University 24,Karnataka,Tier 1,Private,Electrical Engineering,8941,7.72,894124,68.37,62,34.41,11.14
24,University 24,Maharashtra,Tier 3,Government,Mechanical Engineering,7238,7.4,1372647,67.2,151,40.74,23.45
25,University 25,Tamil Nadu,Tier 3,Government,Computer Science,1671,6.6,1994329,68.95,40,30.14,14.18
25,University 25,Delhi,Tier 2,Government,Electrical Engineering,7981,6.42,1715400,74.24,65,41.86,17.55
25,University 25,Delhi,Tier 3,Government,Mechanical Engineering,7937,8.8,1522869,63.27,113,29.42,15.66
26,University 26,Maharashtra,Tier 2,Private,Computer Science,2276,9.45,1824350,96.96,33,57.1,15.53
26,University 26,Uttar Pradesh,Tier 1,Private,Electrical Engineering,5621,6.52,1607506,88.53,130,70.67,21.24
26,University 26,Karnataka,Tier 1,Private,Mechanical Engineering,8673,7.24,1121106,69.7,138,42.64,10.3
27,University 27,Maharashtra,Tier 1,Government,Computer Science,7229,7.15,872203,69.33,32,55.62,20.19
27,University 27,Tamil Nadu,Tier 1,Government,Electrical Engineering,7371,7.88,837198,89.82,132,53.87,15.68
27,University 27,Delhi,Tier 2,Private,Mechanical Engineering,6401,8.13,1212826,74.24,128,39.82,24.01
28,University 28,Delhi,Tier 2,Government,Computer Science,2733,7.28,372303,66.43,94,25.27,22.09
28,University 28,Maharashtra,Tier 3,Government,Electrical Engineering,9434,6.06,1090756,99.3,25,43.87,24.54
28,University 28,Karnataka,Tier 3,Private,Mechanical Engineering,1117,6.9,1330117,86.75,98,52.1,17.15
29,University 29,Delhi,Tier 1,Private,Computer Science,9915,7.78,1254480,81.19,20,56.64,14.33
29,University 29,Delhi,Tier 2,Government,Electrical Engineering,7988,7.86,582272,74.77,29,52.92,18.23
29,University 29,Uttar Pradesh,Tier 1,Private,Mechanical Engineering,2619,6.89,1804868,60.11,28,55.74,17.07
30,University 30,Tamil Nadu,Tier 2,Government,Computer Science,8984,8.98,1885083,98.6,97,75.98,24.86
30,University 30,Uttar Pradesh,Tier 3,Government,Electrical Engineering,3560,8.59,1392501,61.92,112,28.39,21.93
30,University 30,Karnataka,Tier 2,Government,Mechanical Engineering,5820,6.65,1761074,86.61,173,74.47,14.74
31,University 31,Uttar Pradesh,Tier 1,Private,Computer Science,7943,7.62,765317,81.59,82,50.16,13.48
31,University 31,Maharashtra,Tier 3,Government,Electrical Engineering,5033,7.9,1253959,69.16,58,27.01,24.1
31,University 31,Tamil Nadu,Tier 2,Private,Mechanical Engineering,8667,8.78,1616128,81.34,174,67.32,12.28
32,University 32,Maharashtra,Tier 1,Government,Computer Science,1950,6.5,581173,88.56,24,72.61,15.13
32,University 32,Delhi,Tier 3,Government,Electrical Engineering,7371,7.6,1651351,80.09,155,29.0,13.44
32,University 32,Karnataka,Tier 1,Private,Mechanical Engineering,1094,8.09,637827,81.71,62,55.94,22.4
33,University 33,Uttar Pradesh,Tier 2,Private,Computer Science,7166,7.62,376077,84.6,160,28.35,11.51
33,University 33,Maharashtra,Tier 3,Private,Electrical Engineering,1827,8.08,995275,82.61,87,67.41,10.35
33,University 33,Uttar Pradesh,Tier 1,Private,Mechanical Engineering,7024,7.48,798716,64.17,60,75.53,16.76
